gloss	old_english	modern_english
stone	staːn	stoʊn
bone	baːn	boʊn
home	haːm	hoʊm
oak	aːk	oʊk
road	raːd	roʊd
goat	gaːt	goʊt
loaf	hlaːf	loʊf
rope	raːp	roʊp
soap	saːpe	soʊp
ghost	gaːst	goʊst
house	huːs	haʊs
mouse	muːs	maʊs
out	uːt	aʊt
brown	bruːn	braʊn
cow	kuː	kaʊ
how	huː	haʊ
now	nuː	naʊ
thousand	θuːsend	θaʊzənd
town	tuːn	taʊn
south	suːθ	saʊθ
loud	hluːd	laʊd
food	foːda	fuːd
moon	moːna	muːn
tooth	toːθ	tuːθ
goose	goːs	guːs
blood	bloːd	blʌd
flood	floːd	flʌd
foot	foːt	fʊt
book	boːk	bʊk
good	goːd	gʊd
look	loːkian	lʊk
took	toːk	tʊk
wife	wiːf	waɪf
mine	miːn	maɪn
wine	wiːn	waɪn
time	tiːma	taɪm
ride	riːdan	raɪd
bite	biːtan	baɪt
white	hwiːt	waɪt
light	liːoht	laɪt
night	niːht	naɪt
right	riːht	raɪt
bright	beorht	braɪt
eye	eːage	aɪ
ice	iːs	aɪs
sky	skiː	skaɪ
see	seːon	siː
sea	sæː	siː
me	meː	miː
he	heː	hiː
tree	treːo	triː
three	θreːo	θriː
feet	feːt	fiːt
green	greːne	griːn
deep	deːop	diːp
sleep	slæːpan	sliːp
meet	meːtan	miːt
speak	sprecan	spiːk
beat	beːatan	biːt
eat	etan	iːt
name	nama	neɪm
day	dæg	deɪ
hand	hand	hænd
land	land	lænd
sing	singan	sɪŋ
king	kyning	kɪŋ
thing	θing	θɪŋ
bring	bringan	brɪŋ
swim	swimman	swɪm
this	θis	ðɪs
that	θæt	ðæt
red	reːad	rɛd
bed	bed	bɛd
sun	sunne	sʌn
son	sunu	sʌn
fire	fyːr	faɪər
mouse	myːs	maɪs
knee	kneːo	niː
knight	kniht	naɪt
know	kunnan	noʊ
gnat	gnæt	næt
bath	bæθ	bæθ
path	pæθ	pæθ
cloth	klaːθ	klɒθ
mother	moːdor	mʌðər
father	fæder	fɑːðər
brother	broːθor	brʌðər
sister	sweostor	sɪstər
water	wæter	wɔːtər
over	ofer	oʊvər
seven	seofon	sɛvən
heaven	heofon	hɛvən
fish	fisk	fɪʃ
ash	æsk	æʃ
wash	wæskan	wɒʃ
dish	disk	dɪʃ
church	kirke	tʃərtʃ
cheese	kiːse	tʃiːz
chicken	kyken	tʃɪkən
hound	hund	haʊnd
